音標	調類	調值	
tsɘ	5	蔗=鷓	
tsʰɘ	1	車	
tsʰɘ	3	扯=	
sɘ	1	賒=奢	
sɘ	2	蛇=	
sɘ	3	捨=[～不得]	
sɘ	5	社舍[宿～]赦射=鱔[～魚]	
zɘ	3	惹=	
kɘ	2	蛤[～蟆：青鞋]	
kɘ	3	弆[～起：藏着]給	
kɘ	5	鋸-割-	
kɘ	6	嗝[打～]	
kɘ	7	格革隔=虼	
kʰɘ	3	剋[過分地省儉]	
kʰɘ	5	去-	
kʰɘ	7	刻克咳客髂[～膝骨：膝蓋骨]	
ŋɘ	7	額厄扼軛=	
xɘ	1	□[象聲詞，形容笑的聲音]	
xɘ	3	許-[～多]	
xɘ	5	□[捆(動詞)：～緊點]	
xɘ	6	□[拿：～不起]	
xɘ	7	黑核嚇赫駭	
ɘ	2	兒而	
ɘ	3	耳餌爾	
ɘ	5	二=貳	
ɘ	6	二-	
pie	5	癟[物體表面凹下去]	
pie	6	癟[沒有牙齒，用牙齦咀嚼]	
pie	7	屄[女陰]	
pʰie	3	蹩[～噠腳]撇[(存疑)～淡的：很淡]	
pʰie	7	別鱉撇[一～]	
mie	1	咩	
mie	7	滅篾搣[掰：把橘子～開]	
tie	1	爹=[～～：父親]	
tie	3	喋[嘆詞，給人東西時的招呼語]	
tie	7	跌迭疊蹀[半路上順便逗留]喋[嘆詞]	
tʰie	3	□[丟失：～咖噠(丟失了)]	
tʰie	7	鐵貼帖蝶諜牒	
lie	5	捩[歪；拗]	
lie	7	列烈裂劣獵	
tɕie	3	姐=毑[娭～：祖母；對老年婦女的尊稱]	
tɕie	5	借藉	
tɕie	7	接節絕結潔揭劫孑澀-	
tɕʰie	3	且	
tɕʰie	5	絕[～代子]	
tɕʰie	7	切捷截妾傑怯	
ɕie	1	些=	
ɕie	2	邪斜=	
ɕie	3	寫=	
ɕie	5	謝=[多～]卸=	
ɕie	7	雪屑泄瀉=[～肚子]蠍薛褻血穴協脅歇竭謁	
tɕie	2	茄=	
ȵie	7	業聶鑷孽捏鎳	
ie	1	椰	
ie	2	爺=[～～：祖父]	
ie	3	也冶野=	
ie	5	腋夜=翼-[～胛：翅膀]	
ie	6	夜-敥[以手撒物：～石灰]	
ie	7	乙葉頁凹[(訓讀)]夜[普遍訛音]液[普遍訛音]	
kuɘ	7	國	
tɕye	5	倔[發～脾氣]	
tɕye	6	倦[～咖噠(睏了)]	
tɕye	7	決訣掘拙厥橛孑	
tɕʰye	3	□[折斷]	
tɕʰye	7	缺	
ɕye	1	靴=	
ɕye	7	說穴	
ye	3	抈[折，弄斷：把棍子～脫]	
ye	5	𠮷[～口：田埂上過水的口子]	
ye	7	月熱悅閱越粵曰	
pɐɛ	1	𨃅[跛]	
pɐɛ	2	排牌	
pɐɛ	3	擺	
pɐɛ	5	拜敗=	
pɐɛ	6	敗-	
pʰɐɛ	3	□[佩帶(徽章、符號等)]𬧁[量詞，兩臂左右平伸時兩手間的距離]	
pʰɐɛ	5	派	
mɐɛ	2	埋	
mɐɛ	3	買	
mɐɛ	5	賣邁	
fɐɛ	2	懷槐淮	
fɐɛ	5	壞=	
fɐɛ	6	壞-	
tɐɛ	1	呆[～若木雞]	
tɐɛ	2	臺擡苔	
tɐɛ	3	歹	
tɐɛ	5	帶戴待怠殆貸袋=代=	
tɐɛ	6	大-代-袋-	
tʰɐɛ	1	胎	
tʰɐɛ	3	奤[身體過胖走路兩邊搖晃或指一般人一步一步慢騰騰地走路]	
tʰɐɛ	5	太態泰	
lɐɛ	1	疓[小孩或植物因營養不足而未長好]	
lɐɛ	2	來□[～田：水稻生長期間，在植株之間進行除草]	
lɐɛ	3	奶乃□[(雞用爪子)刨(地)]哪[～個]	
lɐɛ	5	奈耐=賴=癩=那[～個]	
lɐɛ	6	癩-賴-耐-	
tsɐɛ	1	栽災齋	
tsɐɛ	2	才財材裁豺柴	
tsɐɛ	3	宰崽[兒子]載[一年半～]	
tsɐɛ	5	再在=寨=載[～重]債	
tsɐɛ	6	在-寨-□[～雨：淋雨]	
tsʰɐɛ	1	猜差[出～]	
tsʰɐɛ	3	彩採睬踩	
tsʰɐɛ	5	菜蔡	
sɐɛ	1	腮鰓篩	
sɐɛ	3	灑塞[打：～他兩拳]撒[～網子：魚網的一種]	
sɐɛ	5	賽曬	
kɐɛ	1	街該皆階稭	
kɐɛ	3	改解	
kɐɛ	5	蓋介界芥疥丐屆戒械	
kɐɛ	7	箇[～個]	
kʰɐɛ	1	開揩	
kʰɐɛ	3	楷凱愷	
kʰɐɛ	5	概溉慨	
ŋɐɛ	1	哀唉挨[～排]娭[～毑：祖母；對老年婦女的尊稱]	
ŋɐɛ	2	埃挨[～打]崖岩呆[～的：必定，必然，必然的]	
ŋɐɛ	3	矮藹靄	
ŋɐɛ	5	愛隘艾=礙=	
ŋɐɛ	6	艾-礙-雁[～鵝：大雁]外[～後天：大後天]	
xɐɛ	2	孩鞋諧偕還[副詞]	
xɐɛ	3	海蟹	
xɐɛ	5	亥懈害=旱[～煙]	
xɐɛ	6	害-解[姓氏]	
kuɐɛ	1	乖	
kuɐɛ	3	拐獪[壞；不好(限於指人)]	
kuɐɛ	5	怪	
kuɐɛ	6	□[走路時臀部兩邊擺動]	
kʰuɐɛ	3	塊傀蒯	
kʰuɐɛ	5	快筷會[～計]劊	
kʰuɐɛ	6	擓[佩戴；挎，背]	
uɐɛ	1	歪	
uɐɛ	3	崴[行走不穩，兩邊搖晃]	
uɐɛ	5	外=	
uɐɛ	6	外-	
tɕyɐɛ	3	轉[～味：抖派頭]	
tɕʰyɐɛ	3	揣	
ɕyɐɛ	1	衰	
ɕyɐɛ	3	甩	
ɕyɐɛ	5	帥	
pəɪ	1	杯悲卑碑揹[～不動]	
pəɪ	2	培陪賠	
pəɪ	5	貝閉陛蔽敝弊斃幣輩背[～脊]裨婢臂痹-避備倍=被=秘-[～書]焙=	
pəɪ	6	篦倍-被-焙-背[～時]	
pʰəɪ	1	胚坯丕	
pʰəɪ	3	呸	
pʰəɪ	5	配佩贊沛轡	
məɪ	1	痗[心情沮喪，臉色不好]	
məɪ	2	眉梅枚玫媒煤迷謎[～語]彌露糜[～爛]靡	
məɪ	3	每美	
məɪ	5	媚楣魅昧寐妹=	
məɪ	6	妹-謎[～子]沕[～子(身體不露出水面的游泳動作)]	
fəɪ	1	飛非妃灰恢揮輝徽麾	
fəɪ	2	肥回	
fəɪ	3	匪菲悔賄毀䵋[顏色退去：～色]	
fəɪ	5	肺廢費疿吠繪晦彗慧惠卉穗穢汇=諱會=	
fəɪ	6	汇-會-	
təɪ	1	堆	
təɪ	2	頹	
təɪ	3	躉[(存疑)整批地買進]㨃[(存疑)抵：把門～起；唬，虛張聲勢嚇人或蒙混人]	
təɪ	5	對隊兌碓[～窩子(石臼)]	
tʰəɪ	1	推	
tʰəɪ	3	腿□[剔：把肉～下來]	
tʰəɪ	5	退□[塗抹(肥皂)：洗手～肥皂]	
ləɪ	1	纍[前加成分，表示程度很深：～肥的]	
ləɪ	2	雷擂[～槌(杵)]	
ləɪ	3	屢呂累[～贅]壘儡餒鋁	
ləɪ	5	類淚=慮濾內=累=	
ləɪ	6	內-累-	
tsəɪ	3	嘴	
tsəɪ	5	醉罪=	
tsəɪ	6	罪-	
tsəɪ	7	賊=	
tsʰəɪ	1	崔摧催炊	
tsʰəɪ	5	翠脆粹悴碎=	
səɪ	1	雖	
səɪ	2	隨	
səɪ	5	歲遂隧碎-	
kuəɪ	1	歸規閨龜窺	
kuəɪ	2	葵逵圭揆夔	
kuəɪ	3	鬼詭軌晷	
kuəɪ	5	桂貴鱖瑰癸	
kuəɪ	6	櫃	
kʰuəɪ	1	虧魁盔奎	
kʰuəɪ	3	跪	
kʰuəɪ	5	愧潰	
uəɪ	1	威煨	
uəɪ	2	維唯惟帷圍葦違危桅爲[行～]微薇巍圩[～子]	
uəɪ	3	偉緯尾委餒	
uəɪ	5	胃謂魏畏慰衛=僞未=味=位=	
uəɪ	6	衛-未-味-位-爲[～麼子(爲什麼)]	
tɕyəɪ	1	追錐	
tɕyəɪ	2	垂錘槌捶	
tɕyəɪ	5	綴壁贅	
tɕʰyəɪ	1	吹	
ɕyəɪ	2	誰	
ɕyəɪ	3	水	
ɕyəɪ	5	睡稅瑞	
yəɪ	5	銳	
pɐɔ	1	包胞褒	
pɐɔ	2	袍浮-	
pɐɔ	3	保寶堡飽	
pɐɔ	5	報豹爆鮑暴=抱=齙	
pɐɔ	6	抱-刨菢暴-	
pʰɐɔ	1	拋泡[鬆軟：包子蒸得蠻～]	
pʰɐɔ	3	跑	
pʰɐɔ	5	炮泡[～茶]雹𣕅[數詞，十：一～個(十個)，～把天(十來天)]	
mɐɔ	1	貓=	
mɐɔ	2	毛矛茅	
mɐɔ	3	卯□[偷；騙]□[瞎猜亂碰]□[打，擊：～他一拳]	
mɐɔ	5	貌冒帽=	
mɐɔ	6	冇[副詞，沒有：～看過電影]帽-	
mɐɔ	7	冇[動詞，沒有：屋裏～人]	
tɐɔ	1	刀	
tɐɔ	2	桃逃陶掏萄濤□[銼]	
tɐɔ	3	島倒[打～]禱	
tɐɔ	5	稻到倒[～水]盜導道=□[鑄造：犁頭是生鐵～的]	
tɐɔ	6	道-	
tʰɐɔ	1	叨滔	
tʰɐɔ	3	討	
tʰɐɔ	5	套	
lɐɔ	1	撈[(順手)拿：～只杯子來囉；(存疑)前加成分，表示程度相當高：～輕的]朥[羶，像羊肉的氣味]	
lɐɔ	2	勞牢癆[～病]	
lɐɔ	3	老腦惱	
lɐɔ	5	鬧=	
lɐɔ	6	鬧-癆[毒：～藥]	
tsɐɔ	1	糟遭䐬[花生、瓜子等炒得很脆]招昭朝[～夕]	
tsɐɔ	2	曹槽䐬[肚子餓]嘈巢朝[～代]潮	
tsɐɔ	3	早棗蚤澡爪[～牙]沼找	
tsɐɔ	5	灶罩[～子(霧)]照詔召兆趙肇罩[～嚴：管死；盯死：你莫～噠我]	
tsɐɔ	6	皂造[～孽(可憐)]	
tsʰɐɔ	1	操[早～]抄鈔超	
