音標	調類	調值	
tsɿ	1	資姿咨滋輜知支枝肢之芝梔[～子花]	
tsɿ	2	瓷糍茲慈磁辭詞祠嗣[無～]池馳遲持	
tsɿ	3	紫姊子梓滓紙只[～有]旨指[～揮]脂止趾址	
tsɿ	5	自=字=寺=巳絘[麻線]制製智致至治志誌痣痔窒蟄[驚～]	
tsɿ	6	自-字-寺-牸[～牛子：小母牛]	
tsɿ	7	置執汁姪質直值織職殖植擲隻=炙蜘指[～腦子：指頭]	
tsʰɿ	1	雌疵差[參～]痴嗤鴟雉摛[伸：莫～手]魑[老派翹舌]跐[(存疑)象聲詞：～噠一跤]	
tsʰɿ	3	此侈恥齒	
tsʰɿ	5	刺賜次伺[～候]廁-翅稚滯	
tsʰɿ	7	秩赤斥尺=	
sɿ	1	斯廝撕私司絲思師獅施詩屍豉[豆～]	
sɿ	2	時鰣	
sɿ	3	死矢屎始史使駛豕	
sɿ	5	四肆祀伺[～機]嗣[～位]飼事=俟士仕侍峙世勢誓逝氏示視嗜似恃式試是=市=柿=實[(又)]	
sɿ	6	事-是-市-柿-	
sɿ	7	十什濕拾實失=室食蝕識飾適釋石	
zɿ	7	日=	
pi	2	皮疲脾琵枇痹=箅[甑～子]	
pi	3	比彼	
pi	7	鼻筆必畢碧逼煏[用火烘乾]壁=璧	
pʰi	1	披批㓟[用刀將竹木的枝椏削下，或將竹片破開]	
pʰi	3	丕鄙庇痞	
pʰi	5	屁	
pʰi	7	匹僻闢劈=霹弼	
mi	1	䊳[～爛的：很爛]	
mi	3	米	
mi	5	瞇密[(又)～嚴的：嚴密無縫]	
mi	7	密蜜覓泌秘=	
ti	1	低	
ti	2	題提=堤蹄啼	
ti	3	底抵的	
ti	5	帝遞地=弟=第=蒂	
ti	6	地-弟-第-	
ti	7	笛敵嫡滴=狄的[～確]	
tʰi	1	梯	
tʰi	3	體	
tʰi	5	替涕屜剃隸逮	
tʰi	7	剔踢=糴	
li	2	梨犁黎離籬璃釐驢	
li	3	旅禮履李裏理鯉	
li	5	麗例厲勵荔吏粒利=痢=	
li	6	利-痢-淚-	
li	7	力立歷栗律率[效～]𢯰[～箕：潷米湯用的竹篾器具]	
tɕi	1	疽雞基稽飢饑肌姬譏機幾[～乎]几[茶～]屐羈箕	
tɕi	2	齊臍[～帶]薺奇騎畸鰭祁祈其旗期棋歧徐芪[黃～]	
tɕi	3	擠已紀幾[～個]	
tɕi	5	濟劑臍[肚～]祭際娶聚=唧[奶～～：奶汁；乳房]記忌既寄計繼季繫[～鞋帶子]	
tɕi	6	聚-徛[站立]	
tɕi	7	疾積跡脊籍藉績緝集輯即鯽稷棘擊激極吉急級及給戟汲吸	
tɕʰi	1	妻棲淒趨蛆嘁[～～話：悄悄話]沏[火～黑噠]欺	
tɕʰi	3	取娶起啟豈	
tɕʰi	5	砌趣企契技妓器棄氣汽	
tɕʰi	7	七漆戚寂績[～麻]𥉻[近視；窺視]乞訖迄吃	
ɕi	1	西須鬚需犀胥希稀兮奚溪綏犧熙嘻	
ɕi	2	徐攜	
ɕi	3	洗徙髓璽喜嬉禧	
ɕi	5	細絮緒序敘戲繫[聯～]	
ɕi	6	繫[箢箕～]	
ɕi	7	錫析昔惜席夕息熄媳悉膝習襲戌恤婿泣隙	
ȵi	2	泥尼呢[～絨]倪宜疑儀蟻[白～]	
ȵi	3	你=擬蟻[～子：蚜蟲]	
ȵi	5	義議毅誼=藝=詣囈	
ȵi	6	誼-藝-膩[～人]螞[～蟻子]	
ȵi	7	逆溺匿暱日-	
i	1	衣依伊醫	
i	2	移夷姨飴怡貽胰[～子油：肥皂]	
i	3	以椅已矣	
i	5	意異肄翼億憶弋冀縊翳[～子：白內障]懿易=	
i	6	易-佾[量詞，行：栽六～]	
i	7	易[姓氏]一益亦譯邑揖抑逸液噎	
pu	2	蒲菩荸[～薺]潽[液體沸騰溢出：牛奶～咖噠]	
pu	3	補	
pu	5	布怖埠步=部=簿=捕	
pu	6	步-部-簿-	
pu	7	不	
pʰu	1	鋪[～設；量詞：一～帳子]	
pʰu	3	普浦輔甫脯譜	
pʰu	5	舖[店～]	
pʰu	6	□[嘴巴動作：男～晴，女～陰]	
pʰu	7	撲卜僕[～人]仆[前～後繼]璞瀑曝勃覆[～辣椒]	
fu	1	夫膚敷	
fu	2	符扶俘胡湖鬍蝴狐壺乎呼瓠	
fu	3	府腑俯斧釜腐撫虎滸□[掀：把被窩一～]	
fu	5	戶=滬戽[～水]護=互瓠[～子]付傅赴訃婦負富副賦父幅[量詞：一～畫]服[量詞：一～藥]斛洑[～上水]附=	
fu	6	戶-護-附-	
fu	7	復複腹覆[～沒]忽勿弗拂佛彿沸福蝠服伏	
ku	1	姑辜孤箍估=	
ku	2	跍[蹲]	
ku	3	古牯估-股鼓䀦[瞪大眼睛]	
ku	5	故固錮僱顧	
ku	6	咕[象聲詞：含口水～幾下]	
ku	7	骨谷穀	
kʰu	1	枯	
kʰu	3	苦	
kʰu	5	庫褲	
kʰu	6	□[噘：～起嘴巴]	
kʰu	7	窟哭酷	
u	1	烏污塢巫誣	
u	2	吳蜈吾梧無	
u	3	五伍午武舞侮鵡	
u	5	誤=悟惡[可～]戊務霧=	
u	6	誤-霧-	
u	7	物屋	
tɕy	1	豬諸居車[～馬炮]蛛株朱硃珠拘駒	
tɕy	2	除渠廚瞿儲芻誅	
tɕy	3	主舉煮矩褚	
tɕy	5	巨拒距註注蛀柱=住=駐句具懼鑄劇據鋸=著苧箸遽□[用不正當的手段把次品推銷給他人]聚	
tɕy	6	柱-住-聚	
tɕy	7	局菊橘	
tɕʰy	1	區驅樞蛆	
tɕʰy	3	處[相～]杵取娶	
tɕʰy	5	處[～所]去=屈[～子：屈戌]趣	
tɕʰy	6	杵[噘：嘴巴一～起]	
tɕʰy	7	出屈	
ȵy	3	女	
ɕy	1	書舒虛墟噓輸須鬚需胥	
ɕy	2	徐殊	
ɕy	3	許=鼠暑黍	
ɕy	5	恕庶墅署戍絮緒序敘樹=豎=	
ɕy	6	樹-豎-薯	
ɕy	7	術述秫	
y	1	淤	
y	2	魚漁如餘於盂榆愉逾虞娛愚儒蠕	
y	3	語汝與[及；給～]雨宇禹羽乳	
y	5	預豫愈譽籲[呼～]裕遇寓玉=芋=喻=與[參～]	
y	6	芋-喻-	
y	7	入域役疫鬱熨[～貼]𢺴[使彎曲：把竹子～彎]	
pɒ	1	巴芭笆疤琶杷粑[～～：有黏性的餅類食物]	
pɒ	2	爬耙扒[～手]	
pɒ	3	把㞎[～～：屎或泛指骯髒之物]	
pɒ	5	霸欛壩罷=絆[～根子草：白茅]	
pɒ	6	罷-稗-	
pɒ	7	八爸	
pʰɒ	1	𤆵[食物煮得過爛]	
pʰɒ	3	啪[象聲詞]趴[兩腿分開]	
pʰɒ	5	怕	
pʰɒ	7	拔拍-□[～子；釀製：～甜酒(釀製江米酒)]	
mɒ	1	媽	
mɒ	2	麻痳蟆[蛤～]	
mɒ	3	馬碼螞	
mɒ	5	罵=	
mɒ	6	罵-	
mɒ	7	抹沫	
fɒ	1	花	
fɒ	2	華鏵划[～船]	
fɒ	5	化劃=[計～]畫=話=	
fɒ	6	畫-話-劃-	
fɒ	7	法乏發髪罰伐筏滑=猾=	
tɒ	3	打	
tɒ	5	大=	
tɒ	7	答搭達躂[跌]䐛[～模：人塊頭大或物體粗笨]	
tʰɒ	1	他	
tʰɒ	7	踏塔榻塌獺䍇[壇子的一種，口徑較一般小]搨[小火烘煎食品]	
lɒ	1	拿[～得來]	
lɒ	2	拿[～手]挪	
lɒ	3	哪邋[～胡：馬虎；髒，不講衛生]	
lɒ	5	那	
lɒ	6	喇[～叭]□[前加成分，表示程度很深：～粗的]	
lɒ	7	納拉臘蠟辣瘌捺邋[～遏：骯髒]旯[旮～]	
tsɒ	1	渣遮-	
tsɒ	2	茶搽查	
tsɒ	3	鮓[～辣椒]	
tsɒ	5	乍炸詐榨柵[～子戲]嗻[囉～]	
tsɒ	6	紮[～掃把：用竹枝扎的掃把]□[極短時間：一～就去噠]	
tsɒ	7	雜劄眨炸[油～]扎札軋鍘蚱[～蜢]閘隻-啄-炙-摺[(存疑)～扇]	
tsʰɒ	1	叉差杈釵畲[姜～：地名]	
tsʰɒ	3	扯-	
tsʰɒ	5	詫岔汊插[～嘴]□[～至：副詞，再也]	
tsʰɒ	6	哆[張開口：笑得一～起]	
tsʰɒ	7	插擦察尺-	
sɒ	1	沙紗挱[(手、樹枝)張開、伸開]痧砂杉賒-	
sɒ	2	蛇-	
sɒ	3	傻撒捨-[～不得]	
sɒ	5	射-[～石頭；～媚眼]	
sɒ	6	射-[～火子星：流星]	
sɒ	7	殺煞靸[～雙拖鞋]薩□[嚴實：羊尾巴遮羊屁股——不～]析[(存疑)量詞，瓣]	
zɒ	3	惹-	
kɒ	1	家-痂[～子]	
kɒ	2	蛤[～蟆：青蛙]	
kɒ	3	假[(存疑)～白的：慘白]	
kɒ	5	架-嫁-駕-	
kɒ	6	□[拃：～一～]嘎[因筆不好寫或紙粗糙，書寫不流利]□[跌跌～～：拿着東西走路不穩磕磕碰碰]跨-[～過去]	
kɒ	7	夾-甲-□[～老的：很老]胛[肩～：肩膀]胳[～肢窩]隔[饞～子：涎布]圿[漫～子]	
kʰɒ	1	抲[用手的虎口緊緊扼住：～喉嚨]	
kʰɒ	3	卡	
kʰɒ	5	胯[～襠]	
kʰɒ	7	掐-[～菜；～人中]恰-	
ŋɒ	1	丫[口一～]椏[樹～]疨[～痄：病痛]	
ŋɒ	2	伢[～子]牙-芽-	
ŋɒ	3	啞-	
ŋɒ	5	嚙[(俗作咬)]咬[(訓讀，本字嚙)]𧧝[～𧨊：性情乖戾，喜歡扯皮]軋[～尖：固定鋤頭的小鐵塊]軛-[牛～]	
ŋɒ	6	砑[滾壓；拖延]	
ŋɒ	7	壓-鴨-押-	
xɒ	1	哈[張口呼氣；(訓讀)食物變壞的特殊氣味：豬油～咖噠]蝦-	
xɒ	3	哈[(訓讀)～寶：傻子]	
xɒ	5	哈[～啾：噴嚏]	
xɒ	6	下-[底～；量詞：看一～；表範圍的副詞，都：他們～來噠]	
xɒ	7	瞎-	
ɒ	1	阿	
piɒ	3	□[象聲詞：槍聲]	
piɒ	6	□[～瀉的：很爛，呈稀泥狀]	
piɒ	7	壁-	
pʰiɒ	3	撇[(存疑)～淡的：很淡]	
pʰiɒ	6	□[～瀉的：很稀]	
pʰiɒ	7	劈-	
miɒ	5	墨[(存疑)～黑的：很黑]	
tiɒ	1	爹-[～～：祖父]	
tiɒ	2	提-	
tiɒ	7	滴-[～咖子：一點兒]	
tʰiɒ	7	踢-締[(訓讀)繫：把鞋帶子～緊]	
liɒ	1	□[形容撒嬌的聲音和样子：～聲～氣]	
liɒ	2	□[爬：莫往高頭～]	
liɒ	3	□[(向下)垂：肩膀一～起；～肩胛]	
liɒ	5	□[～腔：不正經的話]	
liɒ	6	□[～皮：辦事拖沓的人]	
liɒ	7	苶[(存疑)累]	
tɕiɒ	1	嗟佳加嘉傢家=	
tɕiɒ	2	茄-□[解釋；爭論]	
tɕiɒ	3	姐-假賈[姓氏]	
tɕiɒ	5	□[捂着臉突然鬆開手(逗小孩的動作)]架=駕=嫁=價稼□[～濕的：很濕]	
tɕiɒ	6	謝-[姓氏]	
tɕiɒ	7	甲=夾=嘎[脾氣倔]	
tɕʰiɒ	1	□[躲～：捉迷藏]	
tɕʰiɒ	7	□[鈸：打～]喫恰=洽掐=	
ɕiɒ	1	些-蝦=	
ɕiɒ	2	斜-霞瑕遐暇	
ɕiɒ	3	寫-廈[～門：地名]	
ɕiɒ	5	瀉-[稀：～泥巴；腐爛：西瓜～咖噠]夏=[姓氏]下=□[(小氣)]	
ɕiɒ	6	夏-[～天]下-[～力：出力]	
ɕiɒ	7	狹峽匣狎俠挾瞎=轄	
ȵiɒ	1	黏[因接觸而被東西附着上：～點咖子邊(沾了一點兒邊)]	
ȵiɒ	2	黏[粘貼：把信封～好]	
ȵiɒ	3	惹-	
ȵiɒ	5	入[～屄：交合]䏧[不～腮：不帶勁]	
ȵiɒ	6	黏[緊貼着：肉～肉]	
ȵiɒ	7	□[～樹：一種質地堅硬的樹]	
iɒ	1	鴉丫=	
iɒ	2	牙=芽=衙涯爺-[父]	
iɒ	3	雅啞=野-訝	
iɒ	5	亞	
iɒ	6	夜-	
iɒ	7	押=壓=鴨=軋[被車～平噠]	
kuɒ	1	瓜	
kuɒ	2	呱[～～叫]□[氣～噠：氣壞了]	
kuɒ	3	寡剮	
kuɒ	5	掛卦褂	
kuɒ	6	□[～澀的：很澀]	
kuɒ	7	刮括虢	
kʰuɒ	1	誇	
kʰuɒ	3	垮	
kʰuɒ	5	跨=	
kʰuɒ	6	垮[臉一～起]	
uɒ	1	蛙窪窊[凹：鐵桶子～進去一塊]挖[～耳朵]哇[腸胃裏產生的一種不適之感：喫多噠紅鍋子菜(沒有放油炒的菜)心裏～]哇[老～子：烏鴉]	
uɒ	2	娃	
uɒ	3	瓦搲[用瓢、勺等舀東西]哇[象聲詞，嘔吐時嘴裏發出的聲音]歍[打～]	
uɒ	5	滑-猾-	
uɒ	7	襪挖[～土]䁊[因疲勞或害病，眼睛下陷]	
tɕyɒ	1	抓	
tɕyɒ	2	瘸[四肢肌肉萎縮，活動不變成因受凍而變得不靈活]	
tɕyɒ	3	爪	
tɕyɒ	5	□[大叫：你莫～]	
tɕyɒ	7	□[騾、馬用後跟向後踢]	
tɕʰyɒ	5	踹	
ɕyɒ	1	靴-	
ɕyɒ	3	耍	
ɕyɒ	5	刷[～亮的：很光亮]	
ɕyɒ	7	刷[～把，～子]	
yɒ	5	噦[大聲喊叫]	
po	1	波玻菠	
po	2	婆	
po	3	□[象聲詞，敲擊木魚或頭部的聲音]	
po	5	播簸	
po	6	薄[～荷]	
po	7	博薄剝駁鉢撥潑[活～]縛=	
pʰo	1	坡	
pʰo	3	頗	
pʰo	5	破	
pʰo	7	潑[～水]	
mo	1	摸末[～名]	
mo	2	魔磨[～刀]摩模膜	
mo	3	母拇麼[～子：什麼]	
mo	5	慕暮墓募幕磨=	
mo	6	磨-	
mo	7	莫木沐目穆牧寞末茉	
to	1	多	
to	2	駝陀馱坨[量詞：一～泥巴]	
to	3	朵躲垛[～子]	
to	5	惰墮剁舵=	
to	6	舵-垛[把一物壓放在另一物上]□[～栗子：顆粒較板栗小]座-[～子：某些器物的下半截]	
to	7	奪咄	
tʰo	1	拖	
tʰo	3	妥嚲[下垂]	
tʰo	5	唾□[壓：拿塊石頭把紙～起]	
tʰo	7	脫託托鐸蘀[折斷]拓[描；複寫]圫[地名用字：大～，南～，蘇家～]	
lo	1	囉[～唆]賂[(存疑)用手段拉攏人：要他幫忙，就要～噠他]□[～熟的：很熟]	
lo	2	羅蘿鑼籮騾螺腡	
lo	3	裸䌴[打～：舌頭不聽使喚]	
lo	5	烙[～殼：差錯；事故或漏洞]摞[量詞：一大～]糯=	
lo	6	糯-	
lo	7	落賂駱酪洛絡諾樂[快～]	
tso	2	昨	
tso	3	左佐[～借]	
tso	5	座=坐=佐[輔～]	
tso	6	坐-座-	
tso	7	作桌捉撮着酌卓綽琢啄=鐲	
tsʰo	1	搓□[噘：嘴巴～起]	
tsʰo	3	挫	
tsʰo	5	銼措錯鑿戳[～起拐棍]□[丟失：～咖噠(失掉了)]	
tsʰo	7	戳濯濁辵[(存疑)哄騙]	
so	1	梭唆蓑娑嗍[吸氣；吮吸]	
so	3	所鎖瑣	
so	7	索朔塑蟀率[表～]	
so	5	遮[騙；哄：你莫～我囉]□[差；不好：～話子]	
ko	1	哥歌戈鍋	
ko	3	果裹	
ko	5	個過	
ko	6	咯[雞～～(對兒童用語)]	
ko	7	各鴿佮[結交]閣葛郭廓割角箇[指示代詞：～本書]	
kʰo	1	科苛軻窠	
kʰo	3	可棵顆敤[敲：把釘子～進去]	
kʰo	5	課擱[把箱子～起]	
kʰo	7	殼確擴闊渴磕毃[力～]	
ŋo	3	我	
ŋo	7	握鄂鱷沃斡	
xo	1	呵	
xo	2	河何=荷[～花]和[～氣]	
xo	3	火伙夥	
xo	5	貨賀荷[～蘭]禍=和[唱～]縛-	
xo	6	禍-和[跟噠～(自己無主見)]嗬[眼淚水直～]	
xo	7	活喝曷鶴霍藿豁或惑獲合盒盍蠚[(蜂、蟲等)蜇(人)]	
o	1	窩蝸渦萵阿[～膠]屙	
o	2	鵝俄蛾訛禾何-[～得了；～解]	
o	5	臥餓=𤌍[燙：開水～噠]呵[～豁嗨：做事不認真，不肯出力]	
o	6	餓-	
o	7	惡罯[嚴密地覆蓋或封閉起來：白菜～黃噠]㷈[藏火]偔[表程度之甚，限作補語：快得～]	
lio	7	略掠	
tɕio	7	爵嚼[～頭]腳角[貨幣輔助單位]	
tɕʰio	7	嚼[～不爛]雀鵲卻覺[知～]	
ɕio	7	削勺[～子]學芍碩	
tɕio	5	□[～～：指未婚女青年]	
ȵio	7	弱瘧虐	
io	7	岳嶽躍鑰約藥若樂[音～]	
pɘ	7	北百白柏伯帛陌	
pʰɘ	7	拍=泊帕魄珀潑[～糞]	
mɘ	5	墨[～黑的]	
mɘ	7	墨默麥脈沒[沉～]	
tɘ	7	得德掇[～起]	
tʰɘ	7	特	
lɘ	5	捋[～起袖子]	
lɘ	7	肋勒□[開玩笑]	
tsɘ	7	則側惻廁=責摘窄折浙哲摺䇽[篾～子]	
tsʰɘ	5	擇-[～菜]賊-[～牯子：賊]	
tsʰɘ	7	策冊測澤擇=[～期]宅撤徹轍輒拆𦛖[抽搐：臉上的肉直個～]	
sɘ	7	色蝨塞瑟澀=舌設攝涉失-折[～本]	
tsɘ	1	遮=	
tsɘ	3	者	
