 
 	 	  	   
tsəɯ̽	7	𡎺	 
səɯ̽	1	颼蒐	 
səɯ̽	7	夙	 
kəɯ̽	5	彀	 
liəɯ̽	5	綹	 
tɕiəɯ̽	2	梂	 
tɕʰiəɯ̽	1	鰍	 
ɕiəɯ̽	3	鏽□	 
iəɯ̽	5	鬱===	 
tõ	6	--塅	 
lõ	2	圝	 
xõ	2	桓	 
tsɘ̃	1	詹=	 
tsɘ̃	6	黵	 
sɘ̃	5	=騸	 	
tʰiẽ	3	覥	
tʰiẽ	5	掭	 
liẽ	2	奩	 
tɕiẽ	2	撏	 
tɕiẽ	5	=僭𣚙=	 	
ɕiẽ	1	暹-	
ɕiẽ	2	=鏇	 
ɕiẽ	5	鏾==	 
iẽ	1	胭醃焉	
iẽ	2	=簷	 	
tɕyẽ	3	鬈	 
tɕʰyẽ	1	釧	
tɕʰyẽ	3	舛	
tɕʰyẽ	5		
ɕyẽ	1	=揎	
ɕyẽ	2	椽-	
ɕyẽ	5	楦	
yẽ	1	箢	 
pʰã	3	髈	
pʰã	5	襻	
pʰã	6	□	
mã	1	鞔	 
mã	5	幔=㿸	 
fã	1	蕃	 
fã	5	==𠆩	 
tã	1	鐺	
tã	2	罈	 	
tʰã	3	䠀	
tʰã	5	摥	 
lã	3	曩	 
tsã	1	髒贓	
tsã	2	□	
tsã	3	攢	
tsã	5	灒綻=	 
tsʰã	5	懺	 
sã	1	訕	 
sã	3	饊	 
kã	1	泔-	 
kã	5	鑑槓-	 
kʰã	1	㝩	 
ŋã	1	諳鵪	 
xã	1	嫨	
xã	2	閒	
xã	3	瞰	 	
liæ̃	3	魎	 
tɕiæ̃	1	薑	
tɕiæ̃	2	戕□ 
tɕiæ̃	5	=□絳	 
tɕʰiæ̃	5	戧	
ɕiæ̃	1	襄	 
ɕiæ̃	5	萫	 
iæ̃	2	瓤-	 	
tɕyã	1	贓	 
pən	2	澎	 
fən	2	豶	 
tən	1	蹬	
tən	2	臀	
tən	3	礅	
tən	5	=蹾==	 
tʰən	3	隥□□	 
lən	2	崙能	
lən	3	壠	 
tsən	1	樽榛瑧徵鍾	 
tsən	3	□□塚	
tsən	5	疹==	 
tsʰən	1	衝抻蟶	 
tsʰən	5	䟫牚衝	
sən	1	笙=鬆	
sən	2	娠㞞	 
zən	5	扔=	 
kən	3	粳	
kən	5	==羾	 
ŋən	1	壅	 
ŋən	5	壅蕹齆	 
xən	2	恆=	 
xən	6	啈	
pin	1	鑌	 
pin	5	併迸=	 
min	2	銘緡	 
tɕin	1	睛	
tɕin	2	穹	
tɕin	3	儘	
tɕin	5	淨===	 
tɕʰin	3	凊 
ɕin	2	鱅	 
ɕin	5	囟焮-	
tɕʰin	5	罄	 
in	1	蔭	
in	2	=鎔	
in	3	魘冗	
in	5	蔭𢷍=	 
tɕyn	5	窘=	 
ɕyn	1	勳	
ɕyn	2	馴	 
